Country Name,2000,2020,group
Japan,7.29,9.89,East Asia & Pacific
Australia,22.97,30.46,East Asia & Pacific
China,21.78,24.94,East Asia & Pacific
Indonesia,8,20.35,East Asia & Pacific
Malaysia,10.36,14.41,East Asia & Pacific
New Zealand,30.83,40.83,East Asia & Pacific
Finland,36.5,46,Europe & Central Asia
France,10.92,39.51,Europe & Central Asia
Germany,30.94,31.17,Europe & Central Asia
Netherlands,36,33.33,Europe & Central Asia
Norway,36.36,41.42,Europe & Central Asia
Spain,28.29,44,Europe & Central Asia
Switzerland,23,41.5,Europe & Central Asia
United Kingdom,18.36,33.85,Europe & Central Asia
Turkey,4.18,17.32,Europe & Central Asia
