year,LandAverageTemperature,lower,upper
1753,15.092,13.163,17.021
1754,14.681,12.28,17.082
1755,14.397,12.461,16.333
1756,13.906,11.714,16.098
1757,17.61,13.288,21.932
1758,13.847,10.239,17.455
1759,12.526,9.876,15.176
1760,12.887,10.32,15.454
1761,19.021,16.325,21.717
1762,14.72,12.754,16.686
1763,16.391,14.637,18.145
1764,12.507,9.251,15.763
1765,13.953,11.578,16.328
1766,13.555,11.214,15.896
1767,13.361,10.802,15.92
1768,13.875,11.323,16.427
1769,14.461,10.792,18.13
1770,11.621,8.963,14.279
1771,13.828,12.393,15.263
1772,14.581,13.172,15.99
1773,14.484,13.399,15.569
1774,16.521,12.715,20.327
1775,14.719,13.661,15.777
1776,14.108,12.805,15.411
1777,12.743,11.665,13.821
1778,15.037,12.821,17.253
1779,13.659,11.801,15.517
1780,16.183,14.883,17.483
1781,14.285,12.589,15.981
1782,13.925,10.965,16.885
1783,13.069,11.726,14.412
1784,14.947,13.144,16.75
1785,14.468,12.253,16.683
1786,15.294,12.983,17.605
1787,13.451,11.026,15.876
1788,16.468,13.552,19.384
1789,15.462,13.54,17.384
1790,13.812,12.155,15.469
1791,13.612,12.553,14.671
1792,14.212,12.85,15.574
1793,14.336,11.472,17.2
1794,12.874,11.591,14.157
1795,14.295,12.13,16.46
1796,14.314,13.35,15.278
1797,14.107,12.494,15.72
1798,14.951,13.67,16.232
1799,14.869,13.561,16.177
1800,13.763,12.83,14.696
1801,14.676,13.116,16.236
1802,14.628,13.473,15.783
1803,15.106,14.162,16.05
1804,15.774,14.456,17.092
1805,14.702,13.551,15.853
1806,13.923,12.418,15.428
1807,14.138,12.533,15.743
1808,14.491,12.815,16.167
1809,12.656,11.175,14.137
1810,12.551,10.535,14.567
1811,11.956,10.573,13.339
1812,14.355,12.892,15.818
1813,14.521,13.644,15.398
1814,12.532,10.68,14.384
1815,14.394,12.023,16.765
1816,12.267,10.729,13.805
1817,12.072,11.015,13.129
1818,13.51,11.61,15.41
1819,13.038,11.868,14.208
1820,13.311,11.936,14.686
1821,13.039,11.75,14.328
1822,14.212,13.144,15.28
1823,14.197,13.171,15.223
1824,14.83,12.672,16.988
1825,14.007,12.844,15.17
1826,14.482,13.348,15.616
1827,14.684,14.022,15.346
1828,14.384,12.631,16.137
1829,14.225,13.313,15.137
1830,14.942,13.103,16.781
1831,13.58,12.408,14.752
1832,13.727,11.66,15.794
1833,13.803,12.383,15.223
1834,14.197,13.011,15.383
1835,13.129,12.436,13.822
1836,13.646,13.046,14.246
1837,13.526,11.908,15.144
1838,14.367,13.483,15.251
1839,14.411,13.469,15.353
1840,14.714,14.252,15.176
1841,14.552,13.815,15.289
1842,13.584,13.075,14.093
1843,13.991,13.446,14.536
1844,13.921,13.316,14.526
1845,14.319,13.594,15.044
1846,14.923,14.186,15.66
1847,14.25,13.65,14.85
1848,14.466,13.853,15.079
1849,14.458,13.78,15.136
1850,14.492,13.878,15.106
1851,14.531,13.925,15.137
1852,14.512,13.734,15.29
1853,14.645,13.986,15.304
1854,14.692,13.842,15.542
1855,13.926,13.291,14.561
1856,14.019,13.597,14.441
1857,13.953,13.161,14.745
1858,13.677,12.923,14.431
1859,13.827,13.26,14.394
1860,14.203,13.732,14.674
1861,13.967,13.49,14.444
