rel_doi	rel_site	rel_date	type	category	rel_num_authors	ym
10.1101/2020.01.19.911669	bioRxiv	2020-01-19	new results	systems biology	6	2020-01
10.1101/2020.01.20.913368	bioRxiv	2020-01-21	new results	microbiology	6	2020-01
10.1101/2020.01.22.915660	bioRxiv	2020-01-22	new results	microbiology	2	2020-01
10.1101/2020.01.22.914952	bioRxiv	2020-01-23	new results	microbiology	29	2020-01
10.1101/2020.01.21.914929	bioRxiv	2020-01-23	new results	microbiology	4	2020-01
10.1101/2020.01.23.20018549	medRxiv	2020-01-24	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-01
10.1101/2020.01.24.915157	bioRxiv	2020-01-24	new results	bioinformatics	6	2020-01
10.1101/2020.01.23.916395	bioRxiv	2020-01-24	new results	ecology	11	2020-01
10.1101/2020.01.23.917351	bioRxiv	2020-01-24	new results	microbiology	2	2020-01
10.1101/2020.01.21.914044	bioRxiv	2020-01-24	new results	systems biology	9	2020-01
10.1101/2020.01.24.919159	bioRxiv	2020-01-25	new results	ecology	1	2020-01
10.1101/2020.01.23.916726	bioRxiv	2020-01-25	new results	microbiology	1	2020-01
10.1101/2020.01.24.919241	bioRxiv	2020-01-25	confirmatory results	microbiology	12	2020-01
10.1101/2020.01.24.919183	bioRxiv	2020-01-25	new results	pathology	19	2020-01
10.1101/2020.01.26.919985	bioRxiv	2020-01-26	new results	bioinformatics	6	2020-01
10.1101/2020.01.25.919787	bioRxiv	2020-01-26	new results	systems biology	25	2020-01
10.1101/2020.01.25.919688	bioRxiv	2020-01-26	new results	microbiology	2	2020-01
10.1101/2020.01.26.920249	bioRxiv	2020-01-27	new results	microbiology	5	2020-01
10.1101/2020.01.26.20018754	medRxiv	2020-01-28	PUBLISHAHEADOFPRINT	infectious diseases	9	2020-01
10.1101/2020.01.26.20018887	medRxiv	2020-01-28	PUBLISHAHEADOFPRINT	epidemiology	8	2020-01
10.1101/2020.01.27.20018986	medRxiv	2020-01-28	PUBLISHAHEADOFPRINT	infectious diseases	3	2020-01
10.1101/2020.01.27.922443	bioRxiv	2020-01-28	new results	microbiology	3	2020-01
10.1101/2020.01.27.921536	bioRxiv	2020-01-28	new results	ecology	3	2020-01
10.1101/2020.01.27.921627	bioRxiv	2020-01-28	new results	pharmacology and toxicology	7	2020-01
