country,Austria,Canada,France,Germany,Japan,Netherlands,New Zealand,Spain,Sweden,Switzerland,United Kingdom,United States
1875,null,null,0.1,null,null,null,null,null,null,null,null,null
1880,null,null,0.1,null,null,null,null,null,null,null,null,null
1885,null,null,0.1,null,null,null,null,null,null,null,null,null
1890,null,null,0.1,null,null,null,null,null,null,null,null,null
1895,null,null,0.1,null,null,null,null,null,null,null,null,null
1900,null,null,0.2,null,null,null,null,null,null,null,null,0.1
1901,null,null,0.2,null,null,null,null,null,null,null,null,0.1
1902,null,null,0.2,null,null,null,null,null,null,null,null,0.1
1903,null,null,0.2,null,null,null,null,null,null,null,null,0.1
1904,null,null,0.2,null,null,null,null,null,null,null,null,0.2
1905,null,null,0.2,null,null,null,null,null,null,null,1.1,0.2
1906,null,null,0.2,0.2,null,null,null,null,null,null,1.1,0.2
1907,null,null,0.3,0.3,null,null,null,null,null,null,1.2,0.2
1908,null,null,0.3,0.4,null,null,null,null,null,null,1.3,0.2
1909,null,null,0.3,0.4,null,null,null,null,null,null,1.3,0.3
1910,null,null,0.3,0.5,null,null,null,null,null,null,1.4,0.4
1911,null,null,null,0.6,null,null,null,null,null,null,1.6,0.4
1912,null,null,null,0.7,null,null,null,null,null,null,1.7,0.5
1913,null,null,0.4,0.7,null,null,null,null,null,null,1.8,0.6
1914,null,null,null,null,null,null,null,null,null,null,1.9,0.6
1915,null,null,null,null,null,null,null,null,null,null,2.2,0.7
1916,null,null,null,null,null,null,null,null,null,null,2.1,1
1917,null,null,null,null,null,null,null,null,null,null,2.2,1.4
1918,null,null,null,null,null,null,null,null,null,null,2.3,1.7
1919,null,null,null,null,null,null,null,null,null,null,3.1,1.8
1920,null,1,null,null,1.6,null,1.6,1,1,null,3,1.7
1921,null,1.1,null,null,1.7,null,1.2,1,0.9,null,2.8,1.9
1922,null,0.9,null,null,1.8,null,1.3,1.1,0.7,null,2.7,1.9
1923,2.5,1,0.7,null,2,1.1,1.5,1.2,0.7,null,2.7,2.3
