country,regions,GDP per capita,Life expectancy,population
Georgia,Asia,10100,74.3,3910000
Ecuador,South America,10200,78.3,16900000
Namibia,Africa,10500,65.7,2590000
Egypt,Africa,10800,72.6,99400000
St. Lucia,North America,10900,76.6,180000
Malawi,Africa,1130,61,19200000
St. Vincent and the Grenadines,North America,11400,72,110000
Tunisia,Africa,11600,78,11700000
Indonesia,Asia,11700,72,267000000
Mozambique,Africa,1200,61.1,30500000
Mongolia,Asia,12100,68.7,3120000
Bosnia and Herzegovina,Europe,12100,77.9,3500000
Qatar,Asia,121000,80.7,2690000
South Africa,Africa,12300,63.5,57400000
Sri Lanka,Asia,12400,77.8,21000000
Albania,Europe,12400,78,2930000
Eritrea,Africa,1250,64.6,5190000
Peru,South America,12700,80.2,32600000
Guinea,Africa,1280,61.9,13100000
Maldives,Asia,13000,80.1,444000
Suriname,South America,13200,71.6,568000
Lebanon,Asia,13400,80.5,6090000
Grenada,North America,13500,71.9,108000
Algeria,Africa,13700,77.9,42000000
Colombia,South America,13700,78.6,49500000
North Korea,Asia,1390,71.1,25600000
"Macedonia, FYR",Europe,14000,75.2,2090000
Venezuela,South America,14200,75.9,32400000
Brazil,South America,14300,75.7,211000000
Comoros,Africa,1440,68,832000
Madagascar,Africa,1460,63.4,26300000
Togo,Africa,1480,63.1,7990000
Serbia,Europe,14800,76.2,8760000
Sierra Leone,Africa,1490,60,7720000
Timor-Leste,Australia,1490,73.3,1320000
Dominican Republic,North America,15200,76.1,10900000
Guinea-Bissau,Africa,1550,59.7,1910000
Gambia,Africa,1570,67.8,2160000
Iraq,Asia,15900,68,39300000
Barbados,North America,16000,76.8,286000
China,Asia,16000,76.9,1420000000
Costa Rica,North America,16200,81.4,4950000
Botswana,Africa,16500,66.9,2330000
Azerbaijan,Asia,16600,72.3,9920000
Montenegro,Europe,16600,77.3,629000
Thailand,Asia,16900,78.2,69200000
Burkina Faso,Africa,1710,61.6,19800000
Haiti,North America,1710,64.5,11100000
Belarus,Europe,17200,73.8,9450000
