objectid,year_,state,agency,unit_id,fire_name,inc_num,alarm_date,cont_date,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,shape_length,shape_area
1,2007,CA,CCO,LAC,OCTOBER,246393,2007-10-21,2007-10-23,14,,,25.7367134094238,8,1,233414,1902.4390512932,104152.781054466
2,2007,CA,CCO,LAC,MAGIC,233077,2007-10-22,2007-10-25,14,,,2824.87719726562,8,1,233077,20407.9656622567,11431872.5100921
3,2007,CA,USF,ANF,RANCH,166,2007-10-20,2007-11-15,2,,54716,58410.3359375,7,1,166,169150.715690138,236378245.16902
4,2007,CA,CCO,LAC,EMMA,201384,2007-09-11,2007-09-11,14,,,172.214950561523,8,1,201384,6117.77708615572,696929.169753288
5,2007,CA,CCO,LAC,CORRAL,259483,2007-11-24,2007-11-27,14,,,4707.9970703125,8,1,259483,22907.1821739912,19052588.5082272
6,2007,CA,CCO,LAC,GORMAN,109398,2007-05-19,2007-05-22,14,,,2373.84497070312,8,1,109398,19693.2088221895,9606609.35199816
7,2007,CA,CCO,LAC,WEST,148311,2007-07-07,2007-07-08,14,,,245.233963012695,8,1,148311,5881.59045421812,992426.638872278
8,2007,CA,CCO,LAC,PEARBLOSSOM,177427,2007-08-13,2007-08-14,14,,,81.0335006713867,8,1,177427,4123.60776066209,327930.933578308
9,2007,CA,CCO,LAC,SKYLINE,183643,2007-08-21,2007-08-23,14,,,95.4185562133789,8,1,183643,3590.08716263554,386145.195977632
10,2007,CA,CCO,LAC,SESNON,231876,2007-10-21,2007-10-21,14,,,30.3014183044434,8,1,231876,1675.72825031691,122625.490133596
11,2007,CA,CCO,LAC,SOLEDAD,233414,2007-10-22,2007-10-23,14,,,44.1677703857422,8,1,233414,2054.3523122711,178740.620699354
12,2007,CA,CCO,LAC,Y,233912,2007-10-23,,14,,,22.4917297363281,,1,233912,1661.0259250996,91020.7999436423
13,2007,CA,CDF,MVU,ANGEL 3,9233,2007-09-15,2007-09-25,4,,837,832.126525878906,7,1,0,17923.8461798703,3367496.61342472
14,2007,CA,CDF,MVU,BANNER,6310,2007-07-01,2007-07-03,14,,,95.1512603759766,7,1,0,3492.89109333815,385063.478906282
15,2007,CA,CDF,HUU,CHAMBERS,3235,2007-07-27,2007-07-29,7,,55,54.6963577270508,2,1,0,3032.16069290071,221348.302921848
16,2007,CA,CDF,HUU,BROWN,2877,2007-07-08,2007-07-08,2,,20,18.7317733764648,2,1,0,1469.31244722598,75804.7998026628
17,2007,CA,CDF,HUU,DRIFTWOOD,4908,2007-10-25,2007-11-05,14,,70,52.9729537963867,1,1,0,4353.27129529316,214373.935629802
18,2007,CA,CDF,HUU,CAPPEL,4049,2007-09-05,2007-09-11,14,,20,12.8941459655762,1,1,0,1604.37552847899,52180.757491473
19,2007,CA,CCO,KRN,MOUNTAIN,717959,2007-07-19,2007-07-19,14,,840.56,840.558288574219,1,1,717959,10229.1152259677,3401618.78078835
20,2007,CA,CCO,KRN,WHITE,18055,2007-06-24,2007-06-29,2,,12432.15,12432.16015625,7,1,718055,42225.3116657647,50311168.4686577
21,2007,CA,USF,KRN,WOFFORD,0,2007-05-09,2007-05-13,9,,567,567.456604003906,2,1,713610,7154.99834958985,2296415.40117854
22,2007,CA,CCO,LAC,PEARBLOSSOM,80271,2007-04-12,2007-04-13,14,,77,77.8027725219727,8,1,80271,5171.84818244885,314856.650064661
23,2007,CA,CCO,LAC,ISLAND,102481,2007-05-10,2007-05-17,14,,4750,4722.9658203125,8,1,102481,30713.9036968778,19113165.5467755
24,2007,CA,CCO,LAC,CANYON,148415,2007-07-07,,14,,743,743.479919433594,,1,148415,12308.8669532033,3008756.59234069
25,2007,CA,CCO,LAC,FAIRMONT,193853,2007-09-01,2007-09-08,14,,211,211.621948242188,8,1,193853,4739.28524493179,856403.615350964
26,2007,CA,CDF,FKU,AUBERRY,9400,2007-08-28,2007-09-03,10,,150,150.936065673828,2,1,9400,3302.73528655313,610816.557678597
27,2007,CA,CDF,FKU,GATOS,9688,2007-09-02,2007-09-05,1,,100,83.0522003173828,2,1,9688,2298.98836595739,336100.326571061
28,2007,CA,LRA,MVU,CORONADO HILLS,10492,2007-10-22,,14,,,58.7947463989258,3,1,0,1800.91840945851,237933.901236151
29,2007,CA,CCO,LAC,MEADOW RIDGE,233523,2007-10-23,2007-10-25,14,,,39.1084671020508,8,1,233523,3372.74965795864,158266.356219012
30,2007,CA,CDF,MMU,HIGHWAY 41/ RD 209 3,5998,2007-05-20,,14,,,329.080932617188,6,1,0,5371.20450517997,1331743.23131215
31,2007,CA,BLM,MVU,BORDER #34,9128,2007-09-12,2007-09-16,14,,,109.224609375,6,1,0,3036.53767714282,442016.323651099
32,2007,CA,LRA,MVU,78 #4,6655,2007-07-09,2007-07-10,10,,70,99.9742202758789,6,1,0,3524.30684243789,404581.301205116
33,2007,CA,CDF,MVU,BORDER #25,6524,2007-07-06,2007-07-07,4,,50,136.209930419922,6,1,0,3660.2365387801,551222.055071849
34,2007,CA,CDF,MVU,VUELTA,5764,2007-06-16,2007-06-18,14,,120,214.813354492188,6,1,0,6221.77084686383,869318.83221431
35,2007,CA,CDF,LMU,WILLOW,3020,2007-07-06,2007-07-17,1,Timber,75,73.3600082397461,1,2,0,3120.04984780131,296877.424841904
36,2007,CA,CDF,LMU,LOOKOUT,4945,2007-10-02,2007-10-03,5,Grass and Brush Mix,64,64.5118103027344,1,1,0,3350.44808422162,261070.049143409
37,2007,CA,CDF,LMU,PINE,2692,2007-06-23,2007-07-29,5,Grass and Brush Mix,314,481.780029296875,1,1,0,5880.53993733071,1949694.61955041
38,2007,CA,CDF,LMU,ISLAND,2269,2007-06-01,2007-06-04,1,"Grass and sagebrush, outside of SRA.",518,517.562927246094,1,1,0,7971.95349516488,2094502.87930345
39,2007,CA,CDF,LNU,HWY 128,5933,2007-08-14,2007-08-15,14,,368,508.351104736328,6,1,0,6142.00176322882,2057223.92948423
40,2007,CA,CDF,LNU,PEAK,4843,2007-07-11,2007-07-11,2,,60,46.3219909667969,5,1,0,2689.41362950928,187458.452504713
41,2007,CA,CDF,LNU,MOUNTAIN,4247,2007-06-24,2007-06-27,14,,45,49.2782363891602,7,1,0,1815.51001916429,199421.942833482
42,2007,CA,CDF,LNU,SPRUCE,4982,2007-07-15,2007-07-15,11,,,129.011093139648,5,1,0,4042.51437267613,522089.376489864
43,2007,CA,CDF,LNU,BRAYE,3042,2007-05-18,2007-05-22,14,,450,636.530212402344,6,1,0,7055.14105290655,2575946.26060572
44,2007,CA,CDF,LNU,ROBINSON,5400,2007-07-28,2007-07-30,7,Started on Robinson Rancheria,128,121.548217773438,1,1,0,4377.86846340335,491888.19633603
45,2007,CA,CDF,LNU,WEST,5195,2007-07-22,2007-07-22,10,,40,36.9946098327637,6,1,0,2128.27975800986,149711.866976831
46,2007,CA,LRA,LAC,GRIFFITH PARK,0,2007-05-08,,3,NPS from BARC imagery and air photo interp. Presumed accuracy 30m,,747.898376464844,7,1,2,12410.5784528132,3026637.43768651
47,2007,CA,LRA,LAC,BARHAM,0,2007-03-30,2007-03-31,8,"NPS from BARC, air photo interp. Presumed accuracy 30m. Suppress by LA City?",,224.32763671875,7,1,1,5068.36084039532,907821.717689327
48,2007,CA,CCO,VNC,SMALL HIGHWAY,0,2007-06-08,2007-06-08,10,"NPS by ground GPS, presumed cause = automobile, suppressed by VTA Co?",,0.132265999913216,1,1,2,113.154902806083,535.261487792686
49,2007,CA,CCO,VNC,RABBIT HILL,0,2007-10-21,2007-10-21,14,VTACO prob suppress. NPS map by recon & airpic interp. Cause unkn. Accuracy 15m,,16.8409633636475,7,1,3,993.489282239056,68152.9643601658
50,2007,CA,CCO,VNC,ROADSIDE,0,2007-04-30,2007-04-30,9,"VTACO prob suppress.  NPS map ground GPS, in threat zone, accuracy 10m",,0.32058396935463,1,1,1,196.323416449846,1297.35735401187
51,2007,CA,CCO,VNC,DEER RIDGE,239,2007-04-01,2007-04-01,9,"By NPS LE (ground GPS?), presumed accuracy 30m. cause unkn, presumed human",0.3,0.308961540460587,7,1,239,125.50716180727,1250.32300198572
52,2007,CA,CCO,LAC,TRIUNFO,313,2007-05-09,2007-05-09,9,"NPS from unkn source. Presumed accuracy 30m, cause unkn, presumed human",0.2,0.308980941772461,8,1,313,125.511117474601,1250.40152545198
