Country	GenZ	Mil
Australia	14.3	5
Austria	10.5	4.7
Belgium	15.3	4.8
Canada	20	7.9
Chile	24.8	9.6
Colombia	27.5	13.9
Czech Republic	8	2.3
Denmark	11.5	4.7
Estonia	17.7	5.9
Finland	21	6
France	20.1	6.8
Germany	6.2	4
Hungary	12.4	3.5
Iceland	11.9	5.5
Ireland	15.2	4.4
Israel	7.9	3.7
Italy	29.1	
Japan	4.5	2.6
South Korea	10.5	3.6
Latvia	14.8	7.7
Lithuania	19.5	7.7
Luxembourg	22.4	5.6
Mexico	8	3.8
Netherlands	9.1	2.8
New Zealand	12.4	3.3
Poland	10.9	2.6
Portugal	22.9	5.9
Slovakia	19.3	6
Slovenia	14.2	4.3
Spain	38.3	14
Sweden	23.8	6.4
Switzerland	8.6	4.3
United Kingdom	13.5	3.2
United States	15.1	7.1
