Country	source	element	pct
China	OffshoreWind	Tower	53
AsiaPacific	OffshoreWind	Tower	6
Europe	OffshoreWind	Tower	41
China	OffshoreWind	Nacelle	73
AsiaPacific	OffshoreWind	Nacelle	1
Europe	OffshoreWind	Nacelle	26
China	OffshoreWind	Blade	84
AsiaPacific	OffshoreWind	Blade	4
Europe	OffshoreWind	Blade	12
China	OnshoreWind	Tower	55
AsiaPacific	OnshoreWind	Tower	12
Europe	OnshoreWind	Tower	16
NorthAmerica	OnshoreWind	Tower	11
Other	OnshoreWind	Tower	6
China	OnshoreWind	Nacelle	62
AsiaPacific	OnshoreWind	Nacelle	13
Europe	OnshoreWind	Nacelle	10
NorthAmerica	OnshoreWind	Nacelle	8
Other	OnshoreWind	Nacelle	7
China	OnshoreWind	Blade	61
AsiaPacific	OnshoreWind	Blade	6
Europe	OnshoreWind	Blade	18
NorthAmerica	OnshoreWind	Blade	10
Other	OnshoreWind	Blade	5
China	Solar	Wafers	96
AsiaPacific	Solar	Wafers	3
Other	Solar	Wafers	1
China	Solar	Cells	85
AsiaPacific	Solar	Cells	13
Europe	Solar	Cells	2
China	Solar	Modules	75
AsiaPacific	Solar	Modules	18
Europe	Solar	Modules	3
NorthAmerica	Solar	Modules	2
Other	Solar	Modules	2
China	EV	Cathode	68
AsiaPacific	EV	Cathode	26
Europe	EV	Cathode	3
Other	EV	Cathode	3
China	EV	Anode	86
AsiaPacific	EV	Anode	12
Europe	EV	Anode	2
China	EV	Batteries	75
AsiaPacific	EV	Batteries	11
Europe	EV	Batteries	8
Other	EV	Batteries	6
China	EV	ElectricCar	54
AsiaPacific	EV	ElectricCar	10
Europe	EV	ElectricCar	27
NorthAmerica	EV	ElectricCar	7
Other	EV	ElectricCar	2
China	FuelCellTrucks	Trucks	45
AsiaPacific	FuelCellTrucks	Trucks	14
Europe	FuelCellTrucks	Trucks	22
NorthAmerica	FuelCellTrucks	Trucks	19
China	FuelCellTrucks	PowerSystem	48
AsiaPacific	FuelCellTrucks	PowerSystem	39
NorthAmerica	FuelCellTrucks	PowerSystem	5
Other	FuelCellTrucks	PowerSystem	8
China	HeatPumps	HeatPumps	39
AsiaPacific	HeatPumps	HeatPumps	14
Europe	HeatPumps	HeatPumps	16
NorthAmerica	HeatPumps	HeatPumps	29
Other	HeatPumps	HeatPumps	2
China	Electrolyzers	Electrolyzers	41
AsiaPacific	Electrolyzers	Electrolyzers	14
Europe	Electrolyzers	Electrolyzers	26
NorthAmerica	Electrolyzers	Electrolyzers	19
