degree	Major	Study	median_debt
bachelors	Behavioral Sciences	Social Sciences	42.8
bachelors	Religious Education	Arts and Humanities	32
bachelors	"Culinary Arts and
Related Services"	Arts and Humanities	28.6
bachelors	Human Services	Social Sciences	28.6
bachelors	Education	Other	28
bachelors	"Clinical, Counseling, and
Applied Psychology"	Health and Medicine	27.4
bachelors	Literature	Arts and Humanities	27
bachelors	Natural Sciences	Sciences	26.9
bachelors	Physical Sciences	Sciences	26.6
bachelors	Music	Arts and Humanities	26.6
bachelors	Architecture	Arts and Humanities	26.5
bachelors	"Arts, Entertainment, and
Media Management"	Arts and Humanities	26.5
bachelors	Visual and Performing Arts	Arts and Humanities	26.5
bachelors	"Health Professions and
Related Clinical Sciences"	Health and Medicine	26
bachelors	"Communication, Journalism, and
Related Programs"	Other	25.9
bachelors	"Drama/ Theater Arts
and Stagecraft"	Arts and Humanities	25.8
bachelors	Astronomy and Astrophysics	Sciences	25.6
bachelors	Engineering, General	Engineering	25.5
bachelors	Multi-/Interdisciplinary Studies	Other	25.4
bachelors	"Aerospace, Aeronautical,
and Astronautical Engineering"	Engineering	25.2
bachelors	Biological and Physical Sciences	Sciences	25.2
bachelors	"Foods, Nutrition, and
Related Services"	Health and Medicine	25.2
bachelors	Biochemical Engineering	Engineering	25.1
bachelors	Information Science/Studies	Sciences	25.1
bachelors	"Film/Video and
Photographic Arts"	Arts and Humanities	25
bachelors	Social Work	Health and Medicine	24.9
bachelors	Zoology/Animal Biology	Sciences	24.7
bachelors	Civil Engineering	Engineering	24.6
bachelors	"City/Urban, Community,
and Regional Planning"	Social Sciences	24.5
bachelors	Criminal Justice and Corrections	Social Sciences	24.5
bachelors	Mechanical Engineering	Engineering	24.5
bachelors	"Radio, Television, and
Digital Communication"	Other	24.4
bachelors	"Business Administration, Management,
and Operations"	Other	24.4
bachelors	"Health and
Physical Education/ Fitness"	Health and Medicine	24.2
bachelors	Accounting	Other	24.1
bachelors	Computer & Information Sciences	Sciences	24
bachelors	"Public Relations, Advertising,
and Applied Communication"	Other	23.9
bachelors	Chemical Engineering	Engineering	23.8
bachelors	Biology	Sciences	23.7
bachelors	Journalism	Other	23.4
