country	cost_per_g
Switzerland	7.29
USA	6
NZ	5.89
Canada	5.37
South	5.01
United	4.6
Norway	4.07
Japan	3.48
Czechia	3.12
Greece	2.79
Worldwide	2.59
Sweden	2.33
Belgium	2.23
Germany	2.14
Mexico	1.8
South Africa	1.77
Portugal	1.71
Hungary	1.61
Netherlands	1.61
Saudi	1.49
Croatia	1.19
Argentina	0.98
Hong Kong	0.92
Taiwan	0.82
Denmark	0.69
Egypt	0.66
Chile	0.63
Morocco	0.63
Singapore	0.63
UK	0.62
Kenya	0.59
Philippines	0.59
Romania	0.54
Austria	0.51
Spain	0.48
Australia	0.44
Turkey	0.41
Thailand	0.4
Ghana	0.4
Brazil	0.38
Nigeria	0.38
China	0.37
Poland	0.28
Vietnam	0.28
Malaysia	0.28
Indonesia	0.28
Russia	0.25
Colombia	0.2
France	0.16
India	0.09
Italy	0.09
Israel	0.02
